Name,Emirate,City,Category,Latitude,Longitude,Description
Wadi Wurayah National Park,Fujairah,Fujairah,Nature,25.35,56.25,Protected area with waterfalls.
Dibba,Fujairah,Dibba,Town,25.615,56.2725,Coastal town with beaches.
Masafi,Fujairah,Masafi,Town,25.2833,56.1167,Mountain town famous for water.
Fujairah Beaches,Fujairah,Fujairah,Beach,25.1333,56.3333,Beaches along coast.
Ajman Museum,Ajman,Ajman,Museum,25.4056,55.5136,Located in an 18th-century fort.
Ajman Beach,Ajman,Ajman,Beach,25.4111,55.435,Public beach.
Ajman Corniche,Ajman,Ajman,Leisure,25.412,55.439,Seaside promenade.
Ajman Dhow Yard,Ajman,Ajman,Heritage,25.418,55.443,Traditional dhow building.
City Centre Ajman,Ajman,Ajman,Shopping,25.4175,55.4355,Shopping mall.
Dreamland Aqua Park,Umm Al Quwain,Umm Al Quwain,Water Park,25.542,55.553,Large water park.
UAQ National Museum,Umm Al Quwain,Umm Al Quwain,Museum,25.5645,55.5556,Located in old fort.
UAQ Mangroves,Umm Al Quwain,Umm Al Quwain,Nature,25.566,55.555,Mangroves with kayaking.
Al Sinniyah Island,Umm Al Quwain,Umm Al Quwain,Nature,25.565,55.545,Protected island reserve.
Falaj Al Mualla Fort,Umm Al Quwain,Falaj Al Mualla,Heritage,25.337,55.857,Historic fort inland.
Desert Safari Dubai,Dubai,Dubai,Adventure,25.1181,55.2,"Thrilling dune bashing, camel rides, sandboarding, and BBQ dinner with cultural shows in the Arabian Desert."
Dubai Marina Walk,Dubai,Dubai,Leisure,25.08,55.14,"Scenic waterfront with restaurants, cafes, and yacht views."
Ski Dubai,Dubai,Dubai,Adventure,25.1184,55.2009,"Indoor ski resort in Mall of the Emirates with skiing, snowboarding, and penguin encounters."
Al Hamra Village,Ras Al Khaimah,Ras Al Khaimah,Leisure,25.6866,55.7755,"Coastal village with beach resorts, golf course, and marina."
National Museum of Ras Al Khaimah,Ras Al Khaimah,Ras Al Khaimah,Museum,25.7985,55.9496,"Historic fort museum displaying archaeology, ethnography, and history of the emirate."
Al Zorah Nature Reserve,Ajman,Ajman,Nature,25.4351,55.5214,"Protected mangrove reserve with kayaking, birdwatching, and eco-tours."
